speaker,condition,filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,pitch,rms,zcr,centroid,bandwidth,rolloff,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
s10,Lombard,s10_l_bbat9p.wav,-460.4343,60.334404,7.0077267,50.54636,0.40972307,-24.801607,-21.38311,-14.870162,-2.195009,-7.411533,-5.9499545,-2.0772586,1376.5399,0.012898944,0.13102424918831168,1949.0748086004214,1688.142825238804,3633.218344155844,0.18940401,0.166232,0.14923914,0.12031003,0.17225108,0.3503357,0.57341695,0.50134796,0.39708805,0.3760492,0.23250708,0.17802835
s10,Lombard,s10_l_bbay5n.wav,-395.1982,65.19242,-21.838503,36.992252,-9.640296,-18.65165,-19.688059,-14.010639,6.2316246,-5.5454884,-5.1822963,-0.6858891,1581.0581,0.022801632,0.10408100328947369,1613.7728383418412,1544.8548386502528,3243.5238486842104,0.16937374,0.19201487,0.20335048,0.1879819,0.18133353,0.28184757,0.42171478,0.51225847,0.4784692,0.4688379,0.2859892,0.17539163
s10,Lombard,s10_l_bbbg8s.wav,-420.06726,42.831463,13.1503725,67.0199,-5.257853,-28.678793,-23.810398,-18.11214,-7.0268745,-8.938882,-1.0378559,1.415225,1608.1781,0.021346644,0.13223441989942528,2068.5198556072055,1654.2104110920961,3787.895114942529,0.21747115,0.19914766,0.22176744,0.16649933,0.1404366,0.16847605,0.2857896,0.50142574,0.5565656,0.40594,0.27920055,0.33930698
s10,Lombard,s10_l_bbbg9p.wav,-420.49768,44.843258,1.1499993,59.50568,-3.6496372,-25.342224,-21.607168,-15.606589,-2.574661,-13.479784,-6.4089603,-0.34963286,1531.4636,0.021506729,0.13885788690476192,1978.932249314055,1661.9220836533707,3772.6934523809523,0.17540991,0.17763317,0.17018944,0.17020072,0.24140163,0.43092564,0.51776755,0.5116078,0.40320745,0.33597845,0.22278227,0.20189758
s10,Lombard,s10_l_bgin7n.wav,-403.65707,66.41077,-9.052231,49.891777,-6.6508145,-32.175716,-22.496092,-19.492012,1.3404322,-3.0062585,-5.617854,-2.6304026,1337.2189,0.0197307,0.11262263808139535,1667.757060171252,1563.5864505190063,3188.7718023255816,0.1724457,0.17048262,0.18777435,0.1642063,0.19707885,0.28784683,0.4505944,0.5068429,0.40529117,0.33366287,0.28119132,0.20713733
s10,Lombard,s10_l_braczp.wav,-396.38626,35.88754,2.4545047,54.24537,0.34307677,-40.57078,-29.090204,-17.181086,2.860174,-0.5352601,-3.7580357,2.295541,1434.9686,0.022251055,0.17953636532738096,2334.2422211684134,1774.879642909863,4107.2358630952385,0.1988306,0.21007667,0.24236089,0.25789812,0.27468055,0.29157823,0.32481933,0.3541038,0.4370807,0.42179307,0.35983667,0.33456331
s10,Lombard,s10_l_brin2n.wav,-395.90567,56.12893,-3.5758905,48.986713,-7.3392224,-39.35118,-26.507183,-16.504883,2.3750324,-4.918224,-5.2750793,2.5570633,1376.264,0.024386548,0.10602174322289157,1736.393305331389,1614.7009376435863,3305.2522590361446,0.23647504,0.22383034,0.19917773,0.14962314,0.21446562,0.24087545,0.37652493,0.44764987,0.3839834,0.28603792,0.3012762,0.2827424
s10,Lombard,s10_l_bwbc1s.wav,-425.82666,49.561604,7.624879,50.16664,-2.366617,-24.664423,-17.30568,-18.750507,-2.5708976,-7.6897554,-1.678682,7.9999824,1361.5973,0.020598076,0.127215576171875,1975.3521893256943,1676.8022213897173,3749.0234375,0.1869903,0.19334644,0.21767275,0.18665397,0.19017674,0.21689455,0.3854411,0.5953099,0.52027863,0.39557737,0.3005271,0.23276135
s10,Lombard,s10_l_bwbi7s.wav,-390.0097,55.54242,-11.156762,39.513714,-6.0455046,-27.610403,-19.656197,-9.8287325,0.9499732,-7.4365807,-7.424884,0.7459891,1505.3954,0.021568561,0.15910132137345678,2011.4313428976366,1649.3277879695802,3741.2229938271603,0.17704418,0.22029378,0.248286,0.19447428,0.2055716,0.32883403,0.47611108,0.46572334,0.36665273,0.30610743,0.2960675,0.22453459
s10,Lombard,s10_l_bwbp9a.wav,-390.00198,58.737114,-16.34414,53.507034,-12.420103,-25.139229,-22.590368,-16.762676,-0.8509362,-8.332144,-8.44765,0.8729745,1773.2949,0.022034334,0.11008360327743902,1813.7162606874303,1569.510047714893,3479.611280487805,0.19763154,0.25034913,0.24321686,0.19147444,0.21561025,0.29429242,0.467128,0.4932138,0.4712617,0.4310513,0.23080246,0.21130978
