antecedents,confidence_train,lift_train,support_train,support_test,confidence_test,lift_test,antecedent_count_test,both_count_test
"frozenset({'zcr_high', 'mfcc2_low'})",0.7423913043478261,3.3813471823313854,0.17079269817454362,0.08345323741007195,0.8405797101449275,1.669151138716356,138,116
"frozenset({'centroid_high', 'zcr_high', 'mfcc2_low'})",0.775255391600454,3.2737553442557714,0.17079269817454362,0.08273381294964029,0.8518518518518519,1.6915343915343917,135,115
"frozenset({'rolloff_high', 'zcr_high', 'mfcc2_low'})",0.8044758539458186,3.259472076929411,0.17079269817454362,0.07697841726618705,0.856,1.6997714285714287,125,107
"frozenset({'pitch_high', 'rolloff_high'})",0.7989690721649484,3.2371604048506875,0.15503875968992248,0.13597122302158274,0.7907949790794979,1.5702928870292887,239,189
"frozenset({'mfcc2_low', 'centroid_high'})",0.7512339585389931,3.172317423650933,0.1902975743935984,0.10863309352517986,0.825136612021858,1.6384855581576894,183,151
"frozenset({'zcr_high', 'mfcc2_low'})",0.7510869565217392,3.171696662228548,0.1727931982995749,0.08345323741007195,0.8405797101449275,1.669151138716356,138,116
"frozenset({'pitch_high', 'centroid_high'})",0.7506053268765134,3.1696628322905775,0.15503875968992248,0.1510791366906475,0.8300395256916996,1.6482213438735178,253,210
"frozenset({'zcr_high', 'mfcc2_low'})",0.7782608695652175,3.1532575657460025,0.17904476119029758,0.08345323741007195,0.8405797101449275,1.669151138716356,138,116
"frozenset({'pitch_high', 'zcr_high'})",0.7766497461928934,3.1467298227207503,0.15303825956489123,0.15035971223021583,0.806949806949807,1.6023717595146167,259,209
"frozenset({'rolloff_high', 'zcr_high'})",0.7533849129593809,3.052468355546671,0.19479869967491872,0.13237410071942446,0.7863247863247863,1.5614163614163614,234,184
"frozenset({'pitch_high', 'centroid_high'})",0.7409200968523003,3.038912274166512,0.15303825956489123,0.1510791366906475,0.8300395256916996,1.6482213438735178,253,210
"frozenset({'mfcc3_low', 'rms_high'})",0.8901569186875892,3.0218484871236577,0.15603900975243812,0.20719424460431654,0.9,1.7871428571428574,320,288
"frozenset({'rolloff_high', 'mfcc2_low'})",0.7438905180840665,3.01400018421295,0.1902975743935984,0.11151079136690648,0.8157894736842105,1.6199248120300753,190,155
"frozenset({'centroid_high', 'rolloff_high', 'mfcc2_low'})",0.7159329140461215,2.9364263828414767,0.17079269817454362,0.10071942446043165,0.8235294117647058,1.6352941176470588,170,140
"frozenset({'mfcc2_low', 'centroid_high'})",0.7068114511352418,2.8990143518870073,0.17904476119029758,0.10863309352517986,0.825136612021858,1.6384855581576894,183,151
"frozenset({'mfcc3_low', 'mfcc1_high'})",0.8156862745098039,2.8168647769988824,0.15603900975243812,0.2489208633093525,0.9057591623036649,1.798578908002992,382,346
frozenset({'mfcc1_high'}),0.7681818181818181,2.652814413565708,0.2535633908477119,0.3834532374100719,0.9142367066895368,1.8154128889977947,583,533
frozenset({'rms_high'}),0.7681818181818181,2.6077751196172243,0.2535633908477119,0.3316546762589928,0.8916827852998066,1.7706272450953304,517,461
"frozenset({'mfcc3_low', 'rms_high', 'mfcc1_high'})",0.9585253456221198,1.9175301936682625,0.15603900975243812,0.20359712230215826,0.9012738853503185,1.7896724294813469,314,283
"frozenset({'mfcc3_low', 'mfcc1_high'})",0.9542483660130717,1.9089740948905822,0.18254563640910226,0.2489208633093525,0.9057591623036649,1.798578908002992,382,346
